protocol,mobile,n_participants,loss,completion_rate,coordinator_decision_rate,partial_delivery_rate,atomicity_violation_rate,avg_deadline_latency,avg_msg_sent
2PC,False,3,0.0,1.0,1.0,0.0,0.0,3.960126446388256,9.0
2PC,False,3,0.1,0.4,0.5,0.1,0.0,49.62926897372756,7.1
2PC,False,3,0.2,0.16666666666666666,0.23333333333333334,0.06666666666666667,0.0,67.36937781457277,5.966666666666667
2PC,False,3,0.3,0.06666666666666667,0.06666666666666667,0.0,0.0,74.97129133395694,5.1
2PC,False,3,0.4,0.0,0.0,0.0,0.0,80.0,4.533333333333333
2PC,False,5,0.0,1.0,1.0,0.0,0.0,5.979595705607589,15.0
2PC,False,5,0.1,0.2,0.3333333333333333,0.13333333333333333,0.0,65.08848999244073,11.166666666666666
2PC,False,5,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,75.02858189405215,9.666666666666666
2PC,False,5,0.3,0.0,0.0,0.0,0.0,80.0,8.633333333333333
2PC,False,5,0.4,0.0,0.0,0.0,0.0,80.0,8.233333333333333
2PC,False,8,0.0,1.0,1.0,0.0,0.0,8.64828972894934,24.0
2PC,False,8,0.1,0.03333333333333333,0.1,0.06666666666666667,0.0,77.61694246179754,15.9
2PC,False,8,0.2,0.03333333333333333,0.03333333333333333,0.0,0.0,77.61694246179754,14.566666666666666
2PC,False,8,0.3,0.0,0.0,0.0,0.0,80.0,13.7
2PC,False,8,0.4,0.0,0.0,0.0,0.0,80.0,12.866666666666667
2PC_RETRY,False,3,0.0,1.0,1.0,0.0,0.0,8.202659335831843,15.266666666666667
2PC_RETRY,False,3,0.1,0.9666666666666667,0.9666666666666667,0.0,0.0,12.496598635342556,16.466666666666665
2PC_RETRY,False,3,0.2,0.8666666666666667,0.8666666666666667,0.0,0.0,21.129716847124865,18.133333333333333
2PC_RETRY,False,3,0.3,0.5666666666666667,0.5666666666666667,0.0,0.0,42.69761241258469,19.333333333333332
2PC_RETRY,False,3,0.4,0.43333333333333335,0.43333333333333335,0.0,0.0,52.14974650687201,20.7
2PC_RETRY,False,5,0.0,1.0,1.0,0.0,0.0,15.302989969394115,37.266666666666666
2PC_RETRY,False,5,0.1,0.9333333333333333,0.9333333333333333,0.0,0.0,21.11279532682064,36.9
2PC_RETRY,False,5,0.2,0.8333333333333334,0.8333333333333334,0.0,0.0,29.225988523755795,39.06666666666667
2PC_RETRY,False,5,0.3,0.4666666666666667,0.4666666666666667,0.0,0.0,51.811461293284005,39.166666666666664
2PC_RETRY,False,5,0.4,0.2,0.2,0.0,0.0,68.16201604067508,38.833333333333336
2PC_RETRY,False,8,0.0,1.0,1.0,0.0,0.0,25.561375179500526,75.73333333333333
2PC_RETRY,False,8,0.1,0.8666666666666667,0.8666666666666667,0.0,0.0,35.433742952527595,74.96666666666667
2PC_RETRY,False,8,0.2,0.8,0.8,0.0,0.0,40.088868615760745,74.43333333333334
2PC_RETRY,False,8,0.3,0.3333333333333333,0.3333333333333333,0.0,0.0,64.18947538776284,73.26666666666667
2PC_RETRY,False,8,0.4,0.13333333333333333,0.13333333333333333,0.0,0.0,73.66418085912115,71.2
ONE_SHOT,False,3,0.0,1.0,1.0,0.0,0.0,2.322014291020674,3.0
ONE_SHOT,False,3,0.1,0.8,1.0,0.2,0.0,17.878164777893574,3.0
ONE_SHOT,False,3,0.2,0.6333333333333333,1.0,0.3333333333333333,0.0,30.840245250617276,3.0
ONE_SHOT,False,3,0.3,0.43333333333333335,1.0,0.5,0.0,46.36409423207183,3.0
ONE_SHOT,False,3,0.4,0.2,1.0,0.7,0.0,64.4905097049998,3.0
ONE_SHOT,False,5,0.0,1.0,1.0,0.0,0.0,3.477547452015576,5.0
ONE_SHOT,False,5,0.1,0.4666666666666667,1.0,0.5333333333333333,0.0,44.31159750814436,5.0
ONE_SHOT,False,5,0.2,0.13333333333333333,1.0,0.8666666666666667,0.0,69.80984563930157,5.0
ONE_SHOT,False,5,0.3,0.03333333333333333,1.0,0.9666666666666667,0.0,77.44461109522535,5.0
ONE_SHOT,False,5,0.4,0.03333333333333333,1.0,0.9666666666666667,0.0,77.44461109522535,5.0
ONE_SHOT,False,8,0.0,1.0,1.0,0.0,0.0,5.178629778870299,8.0
ONE_SHOT,False,8,0.1,0.3333333333333333,1.0,0.6666666666666666,0.0,55.03978023627488,8.0
ONE_SHOT,False,8,0.2,0.03333333333333333,1.0,0.9666666666666667,0.0,77.49651020951838,8.0
ONE_SHOT,False,8,0.3,0.03333333333333333,1.0,0.9666666666666667,0.0,77.49651020951838,8.0
ONE_SHOT,False,8,0.4,0.03333333333333333,1.0,0.9666666666666667,0.0,77.49651020951838,8.0
2PC,True,3,0.0,0.0,0.03333333333333333,0.0,0.0,80.0,4.366666666666666
2PC,True,3,0.1,0.06666666666666667,0.23333333333333334,0.16666666666666666,0.0,74.88079395045484,6.1
2PC,True,3,0.2,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,77.43710310396847,5.3
2PC,True,3,0.3,0.0,0.06666666666666667,0.06666666666666667,0.0,80.0,5.1
2PC,True,3,0.4,0.0,0.03333333333333333,0.03333333333333333,0.0,80.0,4.733333333333333
2PC,True,5,0.0,0.0,0.0,0.0,0.0,80.0,6.8
2PC,True,5,0.1,0.0,0.13333333333333333,0.13333333333333333,0.0,80.0,9.533333333333333
2PC,True,5,0.2,0.0,0.03333333333333333,0.03333333333333333,0.0,80.0,8.366666666666667
2PC,True,5,0.3,0.0,0.0,0.0,0.0,80.0,7.8
2PC,True,5,0.4,0.0,0.0,0.0,0.0,80.0,7.466666666666667
2PC,True,8,0.0,0.0,0.0,0.0,0.0,80.0,10.4
2PC,True,8,0.1,0.0,0.0,0.0,0.0,80.0,13.466666666666667
2PC,True,8,0.2,0.0,0.0,0.0,0.0,80.0,12.833333333333334
2PC,True,8,0.3,0.0,0.0,0.0,0.0,80.0,12.166666666666666
2PC,True,8,0.4,0.0,0.0,0.0,0.0,80.0,11.9
2PC_RETRY,True,3,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,75.77688190981324,18.533333333333335
2PC_RETRY,True,3,0.1,0.7666666666666667,0.7666666666666667,0.0,0.0,26.861103308724157,16.8
2PC_RETRY,True,3,0.2,0.4,0.4,0.0,0.0,53.25070501799626,18.766666666666666
2PC_RETRY,True,3,0.3,0.36666666666666664,0.36666666666666664,0.0,0.0,56.3447864254967,19.5
2PC_RETRY,True,3,0.4,0.2,0.2,0.0,0.0,67.2317023827157,20.233333333333334
2PC_RETRY,True,5,0.0,0.0,0.0,0.0,0.0,80.0,34.06666666666667
2PC_RETRY,True,5,0.1,0.5333333333333333,0.5333333333333333,0.0,0.0,44.534543056403585,30.466666666666665
2PC_RETRY,True,5,0.2,0.4,0.4,0.0,0.0,53.94605994430626,32.0
2PC_RETRY,True,5,0.3,0.1,0.1,0.0,0.0,73.59150211908793,32.766666666666666
2PC_RETRY,True,5,0.4,0.06666666666666667,0.06666666666666667,0.0,0.0,75.71187004320444,34.96666666666667
2PC_RETRY,True,8,0.0,0.0,0.0,0.0,0.0,80.0,57.6
2PC_RETRY,True,8,0.1,0.36666666666666664,0.36666666666666664,0.0,0.0,57.79049174049052,56.46666666666667
2PC_RETRY,True,8,0.2,0.1,0.1,0.0,0.0,74.03782526999727,59.36666666666667
2PC_RETRY,True,8,0.3,0.0,0.0,0.0,0.0,80.0,60.666666666666664
2PC_RETRY,True,8,0.4,0.0,0.0,0.0,0.0,80.0,60.46666666666667
ONE_SHOT,True,3,0.0,0.16666666666666666,1.0,0.6666666666666666,0.0,67.04671271757437,3.0
ONE_SHOT,True,3,0.1,0.6,1.0,0.4,0.0,33.41024858931964,3.0
ONE_SHOT,True,3,0.2,0.5333333333333333,1.0,0.4666666666666667,0.0,38.600849652717656,3.0
ONE_SHOT,True,3,0.3,0.36666666666666664,1.0,0.5666666666666667,0.0,51.548551599193814,3.0
ONE_SHOT,True,3,0.4,0.23333333333333334,1.0,0.6666666666666666,0.0,61.892953411374386,3.0
